row,Track,Category,Level,Album,id,Anger,Fear,Happy,Sad,Tender,Gender,Age,Musicianship,Emotion,Tension,Energy,Valence
1419,19,Fear,High,Lethal weapon 3,29,2,3,1,4,3,Male,26,1,Discrete,NA,NA,NA
1420,20,Fear,High,Man of Galilee CD1,29,4,3,3,1,1,Male,26,1,Discrete,NA,NA,NA
1421,21,Happy,Moderate,The Rainmaker,29,1,1,7,1,4,Male,26,1,Discrete,NA,NA,NA
1422,22,Happy,Moderate,Batman,29,1,1,6,1,2,Male,26,1,Discrete,NA,NA,NA
1423,23,Happy,Moderate,Shallow Grave,29,1,1,8,2,2,Male,26,1,Discrete,NA,NA,NA
1424,24,Happy,Moderate,Man of Galilee CD1,29,1,1,7,1,2,Male,26,1,Discrete,NA,NA,NA
1425,25,Happy,Moderate,Oliver Twist,29,1,1,5,2,2,Male,26,1,Discrete,NA,NA,NA
1426,26,Happy,High,The Omen,29,1,2,4,1,2,Male,26,1,Discrete,NA,NA,NA
1427,27,Happy,High,Oliver Twist,29,1,1,6,2,3,Male,26,1,Discrete,NA,NA,NA
1428,28,Happy,High,Grizzly Man,29,1,2,1,6,3,Male,26,1,Discrete,NA,NA,NA
1429,29,Happy,High,The Portait of a Lady,29,1,1,3,3,6,Male,26,1,Discrete,NA,NA,NA
1430,30,Happy,High,Nostradamus,29,1,1,1,5,4,Male,26,1,Discrete,NA,NA,NA
1431,31,Sad,Moderate,The English Patient,29,1,2,1,3,4,Male,26,1,Discrete,NA,NA,NA
1432,32,Sad,Moderate,Running Scared,29,1,2,1,7,3,Male,26,1,Discrete,NA,NA,NA
1433,33,Sad,Moderate,The Portait of a Lady,29,1,1,1,7,3,Male,26,1,Discrete,NA,NA,NA
1434,34,Sad,Moderate,Big Fish,29,1,3,1,2,3,Male,26,1,Discrete,NA,NA,NA
1435,35,Sad,Moderate,Man of Galilee CD1,29,3,4,1,6,4,Male,26,1,Discrete,NA,NA,NA
1436,36,Sad,High,Angel Heart,29,1,3,1,5,3,Male,26,1,Discrete,NA,NA,NA
1437,37,Sad,High,Batman,29,2,3,1,4,4,Male,26,1,Discrete,NA,NA,NA
1438,38,Sad,High,Dracula,29,1,1,1,3,5,Male,26,1,Discrete,NA,NA,NA
1439,39,Sad,High,Shakespeare In Love,29,1,1,2,3,5,Male,26,1,Discrete,NA,NA,NA
1440,40,Sad,High,The English Patient,29,1,2,1,7,2,Male,26,1,Discrete,NA,NA,NA
1441,41,Tender,Moderate,Shine,29,1,1,2,3,6,Male,26,1,Discrete,NA,NA,NA
1442,42,Tender,Moderate,Pride & Prejudice,29,1,1,1,4,3,Male,26,1,Discrete,NA,NA,NA
1443,43,Tender,Moderate,Dances with Wolves,29,1,1,3,6,5,Male,26,1,Discrete,NA,NA,NA
1444,44,Tender,Moderate,Pride & Prejudice,29,1,1,1,4,4,Male,26,1,Discrete,NA,NA,NA
1445,45,Tender,Moderate,Oliver Twist,29,1,2,1,6,4,Male,26,1,Discrete,NA,NA,NA
1446,46,Tender,High,Batman,29,1,1,1,4,3,Male,26,1,Discrete,NA,NA,NA
1447,47,Tender,High,Oliver Twist,29,1,1,1,3,6,Male,26,1,Discrete,NA,NA,NA
1448,48,Tender,High,Dracula,29,1,2,3,5,3,Male,26,1,Discrete,NA,NA,NA
1449,49,Tender,High,Juha,29,1,1,1,2,4,Male,26,1,Discrete,NA,NA,NA
1450,50,Tender,High,Oliver Twist,29,1,1,1,6,4,Male,26,1,Discrete,NA,NA,NA
1451,1,Anger,Moderate,Lethal weapon 3,30,4,5,4,3,2,Male,21,1,Discrete,NA,NA,NA
1452,2,Anger,Moderate,The Rainmaker,30,4,7,1,4,2,Male,21,1,Discrete,NA,NA,NA
1453,3,Anger,Moderate,The Alien Trilogy,30,2,4,5,2,2,Male,21,1,Discrete,NA,NA,NA
1454,4,Anger,Moderate,Cape Fear,30,5,5,4,3,4,Male,21,1,Discrete,NA,NA,NA
1455,5,Anger,Moderate,The Fifth Element,30,6,7,2,2,3,Male,21,1,Discrete,NA,NA,NA
1456,6,Anger,High,Crouching Tiger ,30,1,5,5,3,1,Male,21,1,Discrete,NA,NA,NA
