Labels,TargetEmo,ComparisonEmo,TrialNum,Track110
Happy-Sad,3,4,85,27
Happy-Tender,3,5,86,27
Tender-Angry,5,1,87,28
Tender-Fearful,5,2,88,28
Tender-Happy,5,3,89,28
Tender-Sad,5,4,90,28
Tender-Angry,5,1,91,29
Tender-Fearful,5,2,92,29
Tender-Happy,5,3,93,29
Tender-Sad,5,4,94,29
Tender-Angry,5,1,95,30
Tender-Fearful,5,2,96,30
Tender-Happy,5,3,97,30
Tender-Sad,5,4,98,30
Sad-Angry,4,1,99,31
Sad-Fearful,4,2,100,31
Sad-Happy,4,3,101,31
Sad-Tender,4,5,102,31
Sad-Angry,4,1,103,32
Sad-Fearful,4,2,104,32
Sad-Happy,4,3,105,32
Sad-Tender,4,5,106,32
Sad-Fearful,4,2,107,33
Sad-Happy,4,3,108,33
Sad-Tender,4,5,109,33
Sad-Angry,4,1,110,34
Sad-Fearful,4,2,111,34
Sad-Happy,4,3,112,34
Sad-Tender,4,5,113,34
Sad-Angry,4,1,114,35
Sad-Fearful,4,2,115,35
Sad-Happy,4,3,116,35
Sad-Tender,4,5,117,35
Sad-Angry,4,1,118,36
Sad-Fearful,4,2,119,36
Sad-Happy,4,3,120,36
Sad-Tender,4,5,121,36
Sad-Angry,4,1,122,37
Sad-Happy,4,3,123,37
Sad-Angry,4,1,124,38
Sad-Fearful,4,2,125,38
Sad-Happy,4,3,126,38
Sad-Tender,4,5,127,38
Tender-Angry,5,1,128,39
Tender-Fearful,5,2,129,39
Tender-Happy,5,3,130,39
Tender-Angry,5,1,131,40
Tender-Fearful,5,2,132,40
Tender-Happy,5,3,133,40
Tender-Angry,5,1,134,41
Tender-Fearful,5,2,135,41
Tender-Happy,5,3,136,41
Tender-Sad,5,4,137,41
Tender-Angry,5,1,138,42
Tender-Fearful,5,2,139,42
Tender-Happy,5,3,140,42
Tender-Sad,5,4,141,42
Tender-Angry,5,1,142,43
Tender-Fearful,5,2,143,43
Tender-Happy,5,3,144,43
Tender-Sad,5,4,145,43
Tender-Angry,5,1,146,44
Tender-Fearful,5,2,147,44
Tender-Happy,5,3,148,44
Tender-Sad,5,4,149,44
Tender-Angry,5,1,150,45
Tender-Fearful,5,2,151,45
Tender-Happy,5,3,152,45
Tender-Sad,5,4,153,45
Sad-Angry,4,1,154,46
Sad-Fearful,4,2,155,46
Sad-Happy,4,3,156,46
Tender-Angry,5,1,157,47
